[INFO] Logger set up successfully
[INFO] Running on device: cuda
[INFO] Simulation environment: data/val_square_UTM_translated_12.inp
[INFO] Loss: SOFTADAPT
[INFO] Run directory created successfully
[INFO] Starting training run: 14
[INFO] Epoch: 1000 -             Loss: 0.002213,             Residual Loss: 0.000001,             Initial Loss: 0.002210,             Boundary Loss: 0.000001
[INFO] Epoch: 2000 -             Loss: 0.002212,             Residual Loss: 0.000002,             Initial Loss: 0.002209,             Boundary Loss: 0.000002
[INFO] Epoch: 3000 -             Loss: 0.002211,             Residual Loss: 0.000002,             Initial Loss: 0.002208,             Boundary Loss: 0.000002
[INFO] Epoch: 4000 -             Loss: 0.002210,             Residual Loss: 0.000002,             Initial Loss: 0.002206,             Boundary Loss: 0.000002
[INFO] Epoch: 5000 -             Loss: 0.002208,             Residual Loss: 0.000003,             Initial Loss: 0.002201,             Boundary Loss: 0.000004
[INFO] Epoch: 6000 -             Loss: 0.002205,             Residual Loss: 0.000003,             Initial Loss: 0.002197,             Boundary Loss: 0.000006
[INFO] Epoch: 7000 -             Loss: 0.002203,             Residual Loss: 0.000003,             Initial Loss: 0.002193,             Boundary Loss: 0.000007
[INFO] Epoch: 8000 -             Loss: 0.002214,             Residual Loss: 0.000012,             Initial Loss: 0.002191,             Boundary Loss: 0.000011
[INFO] Epoch: 9000 -             Loss: 0.002198,             Residual Loss: 0.000003,             Initial Loss: 0.002184,             Boundary Loss: 0.000011
[INFO] Epoch: 10000 -             Loss: 0.002195,             Residual Loss: 0.000004,             Initial Loss: 0.002177,             Boundary Loss: 0.000014
[INFO] Epoch: 11000 -             Loss: 0.002501,             Residual Loss: 0.000316,             Initial Loss: 0.002158,             Boundary Loss: 0.000027
[INFO] Epoch: 12000 -             Loss: 0.002192,             Residual Loss: 0.000003,             Initial Loss: 0.002177,             Boundary Loss: 0.000012
[INFO] Epoch: 13000 -             Loss: 0.002187,             Residual Loss: 0.000004,             Initial Loss: 0.002165,             Boundary Loss: 0.000017
[INFO] Epoch: 14000 -             Loss: 0.002184,             Residual Loss: 0.000005,             Initial Loss: 0.002161,             Boundary Loss: 0.000018
[INFO] Epoch: 15000 -             Loss: 0.002181,             Residual Loss: 0.000006,             Initial Loss: 0.002155,             Boundary Loss: 0.000020
[INFO] Epoch: 16000 -             Loss: 0.002181,             Residual Loss: 0.000006,             Initial Loss: 0.002158,             Boundary Loss: 0.000017
[INFO] Epoch: 17000 -             Loss: 0.002177,             Residual Loss: 0.000007,             Initial Loss: 0.002151,             Boundary Loss: 0.000020
[INFO] Epoch: 18000 -             Loss: 0.002175,             Residual Loss: 0.000006,             Initial Loss: 0.002150,             Boundary Loss: 0.000019
[INFO] Epoch: 19000 -             Loss: 0.002196,             Residual Loss: 0.000031,             Initial Loss: 0.002145,             Boundary Loss: 0.000019
[INFO] Epoch: 20000 -             Loss: 0.002165,             Residual Loss: 0.000010,             Initial Loss: 0.002132,             Boundary Loss: 0.000023
[INFO] Epoch: 21000 -             Loss: 0.002168,             Residual Loss: 0.000012,             Initial Loss: 0.002138,             Boundary Loss: 0.000018
[INFO] Epoch: 22000 -             Loss: 0.002161,             Residual Loss: 0.000012,             Initial Loss: 0.002125,             Boundary Loss: 0.000024
[INFO] Epoch: 23000 -             Loss: 0.002168,             Residual Loss: 0.000015,             Initial Loss: 0.002134,             Boundary Loss: 0.000018
